"","coefs.Estimate","coefs.Std..Error","coefs.z.value","coefs.Pr...z..","coefs.rep","preds.covariate_level","preds.predicted","preds.std.error","preds.conf.low","preds.conf.high","preds.group","preds.label"
"(Intercept)",-1.00124962957941,0.250614941132895,-3.99517133756393,6.46474828187337e-05,1,"HSX:MTF",0.26869580023458,0.250614941132895,0.183554896769082,0.375181014213348,"1","original"
"reported.exposure_HSX:FTM",-0.659583992115912,0.226492845655574,-2.91216259041991,0.00358935748424813,1,"HSX:FTM",0.159650124886832,0.287054071856726,0.0976644120653711,0.250073940305546,"1","original"
"reported.exposure_HSX:nodirection",0.358711540825574,0.549988113129261,0.65221689753369,0.514261260772078,1,"HSX:nodirection",0.344673026533874,0.573504438814711,0.145967390457564,0.618104365511049,"1","original"
"reported.exposure_MSM",0.262849883983704,0.202443239336634,1.29838805605468,0.194154021326096,1,"MSM",0.323354174407113,0.238327772505796,0.230495830882949,0.432591436971148,"1","original"
"reported.exposure_MTC:IntraP",0.0438112926296202,0.412693496550595,0.106159396733428,0.915455885558534,1,"MTC:IntraP",0.277391375530154,0.448552291956989,0.137455718040367,0.48043699194162,"1","original"
"reported.exposure_MTC:notiming",-0.315916060276586,0.525525349677413,-0.601143332991467,0.547744523598995,1,"MTC:notiming",0.211290235327388,0.508147081751744,0.0900425364687447,0.420379498425147,"1","original"
"reported.exposure_MTC:PostP",-0.441203629007033,1.27707803163457,-0.345478990381131,0.729734302336257,1,"MTC:PostP",0.191165734868371,1.27805590705937,0.018939270240942,0.743166155167489,"1","original"
"reported.exposure_MTC:PreP",-0.618393991770452,0.414050484984863,-1.49352316733323,0.135300294538334,1,"MTC:PreP",0.165254025026123,0.481678548866958,0.0715104037810163,0.337250522267442,"1","original"
"reported.exposure_PWID",0.592291615383875,0.328305542046571,1.80408655818505,0.0712177386081577,1,"PWID",0.399161996097921,0.35403915105122,0.249204026105459,0.570758375200256,"1","original"
"(Intercept)1",-1.30122425406516,0.247890516759539,-5.24918932387956,1.52770007285264e-07,2,"HSX:MTF",0.213959049104041,0.247890516759539,0.143431006461483,0.30674783769085,"1","original"
"reported.exposure_HSX:FTM1",-0.614713565856031,0.22404267912374,-2.74373422180209,0.00607446965535941,2,"HSX:FTM",0.128315237337667,0.285641464640194,0.0775732868221698,0.204876378343339,"1","original"
"reported.exposure_HSX:nodirection1",0.18862322228281,0.580150774120433,0.325127933456233,0.745084248592571,2,"HSX:nodirection",0.247386293903639,0.604367328473485,0.091360166126316,0.517976539716641,"1","original"
"reported.exposure_MSM1",0.20774049167459,0.187289282384573,1.10919583347019,0.267345709638658,2,"MSM",0.250962831042768,0.223442432596684,0.177785596415061,0.341741154948311,"1","original"
"reported.exposure_MTC:IntraP1",0.118661849600546,0.370708817591994,0.320094489177074,0.748896703071352,2,"MTC:IntraP",0.234591781922999,0.414841567033366,0.119661777479078,0.408664775108659,"1","original"
"reported.exposure_MTC:notiming1",-0.154585598898392,0.468740618257255,-0.329789211511328,0.741559239724391,2,"MTC:notiming",0.189109034004452,0.454924025417331,0.0872691069903469,0.362581962617963,"1","original"
"reported.exposure_MTC:PostP1",-0.530313269924408,1.20789128184859,-0.439040564240848,0.660632144221408,2,"MTC:PostP",0.138055212175924,1.21968342970305,0.0144561581562897,0.636220681511059,"1","original"
"reported.exposure_MTC:PreP1",-0.53100492405128,0.361462917233225,-1.46904398414032,0.141820859596546,2,"MTC:PreP",0.13797292872397,0.437081408270529,0.0636319449750681,0.273772598911717,"1","original"
"reported.exposure_PWID1",0.579306697467304,0.309578197101834,1.87127744424697,0.061306635251393,2,"PWID",0.326970863740072,0.334125289762944,0.201524859110406,0.483245269849618,"1","original"
"(Intercept)2",-1.18098956732635,0.24228025627309,-4.87447712617235,1.09097024780017e-06,3,"HSX:MTF",0.234874316049241,0.24228025627309,0.160319852619792,0.330454755217665,"1","original"
"reported.exposure_HSX:FTM2",-0.754093697938884,0.224358977895123,-3.36110328640999,0.000776317891335139,3,"HSX:FTM",0.126189006262048,0.286112581791525,0.0761493682741285,0.20192392467782,"1","original"
"reported.exposure_HSX:nodirection2",-0.0441282626838572,0.573044707736125,-0.077006666474926,0.938618241638099,3,"HSX:nodirection",0.227037061804251,0.596615895054202,0.0835958580076749,0.486060572293258,"1","original"
"reported.exposure_MSM2",0.0712165456053882,0.182572951295339,0.390071722564121,0.696483512034763,3,"MSM",0.247913206749402,0.225577775513238,0.174812402605769,0.339023534624052,"1","original"
