"","trial","estimate.Estimate","estimate.Std. Error","estimate.z value","estimate.Pr(>|z|)","var"
"f1.(Intercept)","Omitting Wolinsky_1992",-1.44771126934967,0.179499425513355,-8.06526965314417,7.30743940782253e-16,"Riskgroup"
"f1.riskgroup_MSM","Omitting Wolinsky_1992",0.436663052979967,0.221602961299492,1.97047480962958,0.0487839792230229,"Riskgroup"
"f1.riskgroup_MTC","Omitting Wolinsky_1992",0.523290622766981,0.32242317603431,1.62299320167759,0.104590858151317,"Riskgroup"
"f1.riskgroup_PWID","Omitting Wolinsky_1992",0.922321546382062,0.366983422990654,2.51325124951366,0.0119624106064979,"Riskgroup"
"f1.(Intercept)1","Omitting Briant_1995",-1.445157446936,0.1788297718627,-8.08119046332817,6.41375463141709e-16,"Riskgroup"
"f1.riskgroup_MSM1","Omitting Briant_1995",0.434273079232373,0.221072877304095,1.96438877771067,0.0494850232714469,"Riskgroup"
"f1.riskgroup_MTC1","Omitting Briant_1995",0.371404089189359,0.322378171520366,1.15207579792944,0.249289927386641,"Riskgroup"
"f1.riskgroup_PWID1","Omitting Briant_1995",0.919774301343276,0.36594489985778,2.51342292706015,0.0119565900552009,"Riskgroup"
"f1.(Intercept)2","Omitting Poss_1995",-1.50321250144272,0.180475441361052,-8.32918035886918,8.14039702291659e-17,"Riskgroup"
"f1.riskgroup_MSM2","Omitting Poss_1995",0.479459554873237,0.220759639143133,2.17186237816946,0.0298660449390378,"Riskgroup"
"f1.riskgroup_MTC2","Omitting Poss_1995",0.531529781030605,0.314812785582027,1.68839959929808,0.0913345473500065,"Riskgroup"
"f1.riskgroup_PWID2","Omitting Poss_1995",0.96887899447711,0.36346435173344,2.66567818785065,0.00768332023224303,"Riskgroup"
"f1.(Intercept)3","Omitting Wade_1998",-1.45059398423888,0.180242861182647,-8.04799687888299,8.41600942942165e-16,"Riskgroup"
"f1.riskgroup_MSM3","Omitting Wade_1998",0.439385424849317,0.222197060398894,1.97745831587745,0.0479898478257966,"Riskgroup"
"f1.riskgroup_MTC3","Omitting Wade_1998",0.448209737967334,0.322375570730208,1.39033406579816,0.164427457951107,"Riskgroup"
"f1.riskgroup_PWID3","Omitting Wade_1998",0.925163013948404,0.368120852903573,2.51320458118884,0.0119639932824194,"Riskgroup"
"f1.(Intercept)4","Omitting Long_2000",-1.50209220935099,0.183526204917643,-8.1846197932609,2.73164693683267e-16,"Riskgroup"
"f1.riskgroup_MSM4","Omitting Long_2000",0.479835559330097,0.22319905019555,2.14981004134964,0.0315702435958929,"Riskgroup"
"f1.riskgroup_MTC4","Omitting Long_2000",0.526643872319903,0.320733062335286,1.64200057357779,0.100589885214473,"Riskgroup"
"f1.riskgroup_PWID4","Omitting Long_2000",0.969120941023463,0.368298807981766,2.63134422382232,0.00850478461354607,"Riskgroup"
"f1.(Intercept)5","Omitting Dickover_2001",-1.45604806644615,0.181552863036653,-8.01996752952442,1.05773122254612e-15,"Riskgroup"
"f1.riskgroup_MSM5","Omitting Dickover_2001",0.444476776851645,0.223229066477614,1.99112411239788,0.046467244171774,"Riskgroup"
"f1.riskgroup_MTC5","Omitting Dickover_2001",0.489341550127874,0.334315150749267,1.46371335259907,0.143272285607407,"Riskgroup"
"f1.riskgroup_PWID5","Omitting Dickover_2001",0.930554739800984,0.370175777427852,2.51381856010919,0.0119431860816244,"Riskgroup"
"f1.(Intercept)6","Omitting Delwart_2002",-1.46067982170277,0.182085716234719,-8.02193522868027,1.0409202858908e-15,"Riskgroup"
"f1.riskgroup_MSM6","Omitting Delwart_2002",0.447544107554388,0.223200014801793,2.00512579693069,0.0449496002656055,"Riskgroup"
"f1.riskgroup_MTC6","Omitting Delwart_2002",0.483903457772088,0.321207799527653,1.50651216590532,0.13193574640356,"Riskgroup"
"f1.riskgroup_PWID6","Omitting Delwart_2002",0.93398730829232,0.369195175985009,2.52979282787336,0.0114129893693438,"Riskgroup"
"f1.(Intercept)7","Omitting Nowak_2002",-1.45145111481639,0.180465204382428,-8.04283085918649,8.77864607086166e-16,"Riskgroup"
