"","covariate","level","est","sd","ci.lb","ci.ub","z.val","p.val","analysis"
"sing","(Intercept)",NA,-1.44888224177158,0.179783057530852,-1.77453338068343,-1.10760955378237,-8.05905885499219,7.68840771154818e-16,"sing"
"rep","(Intercept)",NA,-1.32691559105263,0.136989729859701,-1.59903095562054,-1.08390252715024,-9.68624138766903,3.44991601566194e-22,"rep"
"sing1","(Intercept)",NA,-1.28062020215192,0.195810658529197,-1.62681660693869,-0.982830785341448,-6.54009445538413,6.14799916991455e-11,"sing"
"rep1","(Intercept)",NA,-1.21365242967734,0.147337166991235,-1.51693927409134,-0.94243182363808,-8.23724559431459,1.76220510629185e-16,"rep"
"sing2","(Intercept)",NA,-1.06721651356404,0.178207895714578,-1.40055067290835,-0.672489963351558,-5.98860398011388,2.11649809831199e-09,"sing"
"rep2","(Intercept)",NA,-0.984390768427775,0.145638341909408,-1.27147770346013,-0.696819430222078,-6.75914567223032,1.3880778033187e-11,"rep"
"sing3","(Intercept)",NA,-0.954875787218538,0.111347141499879,-1.17743869693145,-0.740254583458723,-8.57566502701444,9.85158842082816e-18,"sing"
"rep3","(Intercept)",NA,-0.946733947586679,0.0970845084587293,-1.14043259052777,-0.772494953201248,-9.75164794689296,1.81497704903069e-22,"rep"
"sing4","(Intercept)",NA,-1.90882837943831,0.272878954423173,-2.49312143866273,-1.3601223131055,-6.99514692686104,2.64981086977831e-12,"sing"
"rep4","(Intercept)",NA,-1.88253886669447,0.235168355837564,-2.29471653812771,-1.47290404990382,-8.00506879418243,1.19399903854217e-15,"rep"
"sing5","(Intercept)",NA,-1.23555007705884,0.17350932686213,-1.6058948458015,-0.887959343575225,-7.12094329108083,1.07190891875861e-12,"sing"
"rep5","(Intercept)",NA,-1.19495206880215,0.128059105273374,-1.44792738902017,-0.91593403508223,-9.33125423804283,1.04625381531746e-20,"rep"
